weight_kg
23
16
24
25
25
22.5
21
29.5
19.5
18.5
22.5
24.5
23
26.5
27
27.5
25.5
25
23
27
28
28.5
22.5
22.5
21
19
19.5
29
30
30.5
31
31
30
22
19
19.5
15
24
25.5
23.5
26
27.5
25
25
25
26.5
24.5
10
15.5
35
30.5
29
24.5
24
19
18.5
17
17
25
